generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
86,1708.571153045166,1708.571153045166,1759.0443594037665,2152.569652150205,0.0005852843753201097,0.0005704160162358822,0.0004645610417303329,22.0,13.28125,14
87,1708.571153045166,1708.571153045166,1726.952085687576,2014.6309834855788,0.0005852843753201097,0.0005796217124388166,0.0004963688180104661,14.000000000000002,4.0625,15
88,1708.571153045166,1708.571153045166,1726.9119696224475,2079.4765009414086,0.0005852843753201097,0.0005798018516831806,0.0004808902623075016,10.0,3.875,16
89,1708.571153045166,1708.571153045166,1731.4115792149462,2096.672153630834,0.0005852843753201097,0.000578468845462851,0.0004769462876054736,12.0,14.124999999999998,17
90,1708.571153045166,1708.571153045166,1736.51863334444,2024.9088944412815,0.0005852843753201097,0.000576771570546379,0.0004938493789746143,16.0,7.5625,18
91,1708.571153045166,1708.571153045166,1739.775626829072,2074.280232435597,0.0005852843753201097,0.0005760108454794363,0.00048209493797557457,15.0,10.59375,19
92,1708.571153045166,1708.571153045166,1724.0482188661158,2015.7159992729285,0.0005852843753201097,0.0005805406449306519,0.000496101633543962,11.0,4.3125,20
93,1708.571153045166,1708.571153045166,1738.783712132881,2041.1743601590774,0.0005852843753201097,0.0005762194599096654,0.0004899140512043593,15.0,10.53125,21
94,1708.571153045166,1708.571153045166,1730.2296035902843,2014.6309834855788,0.0005852843753201097,0.0005786908146730524,0.0004963688180104661,15.0,11.71875,22
95,1708.571153045166,1708.571153045166,1726.896896819844,1944.1516980721715,0.0005852843753201097,0.0005795813040310316,0.0005143631543729862,15.0,11.9375,23
96,1708.571153045166,1708.571153045166,1729.883820923978,2142.7975539432396,0.0005852843753201097,0.0005788694996283425,0.000466679644168797,12.0,9.0625,24
97,1708.571153045166,1708.571153045166,1737.1305065815448,2067.9189509726666,0.0005852843753201097,0.0005766798463715825,0.00048357794657747077,17.0,7.187499999999999,25
98,1708.571153045166,1708.571153045166,1735.4803771330155,2447.5330539653332,0.0005852843753201097,0.0005777012262154894,0.00040857466598045116,10.0,4.0625,26
99,1708.571153045166,1708.571153045166,1727.4839602982684,1914.8456280733853,0.0005852843753201097,0.0005793580791444757,0.000522235309906494,14.000000000000002,13.343749999999998,27
100,1708.571153045166,1708.571153045166,1733.4596330189968,2049.0150761929035,0.0005852843753201097,0.0005777446105645899,0.0004880393568689658,16.0,4.8125,28
101,1708.571153045166,1708.571153045166,1737.4718156470813,2078.0656047099765,0.0005852843753201097,0.0005766291211535589,0.0004812167612675365,15.0,10.59375,29
102,1708.571153045166,1708.571153045166,1718.9081545155416,2001.1701686580293,0.0005852843753201097,0.0005820984230409357,0.0004997076288972429,8.0,4.1875,30
103,1708.571153045166,1708.571153045166,1732.9939980273973,2061.3228423778305,0.0005852843753201097,0.0005777873202228009,0.0004851253667991442,17.0,8.3125,31
104,1708.571153045166,1708.571153045166,1743.5314090787388,2102.5807784533563,0.0005852843753201097,0.000575010807662953,0.0004756059839639515,15.0,12.562499999999998,32
105,1708.571153045166,1708.571153045166,1748.7909085789624,2113.425466022413,0.0005852843753201097,0.0005732207865620357,0.0004731654917937828,24.0,14.499999999999998,33
106,1708.571153045166,1708.571153045166,1737.3094052769425,2201.8233334965526,0.0005852843753201097,0.0005767934687962799,0.00045416904471258084,16.0,7.15625,34
107,1708.571153045166,1708.571153045166,1744.2087309943918,2179.0241210721283,0.0005852843753201097,0.0005746358670366392,0.0004589210327364239,18.0,2.8125,35
108,1708.571153045166,1708.571153045166,1731.4947531032058,2008.4276469232093,0.0005852843753201097,0.0005782814857496145,0.000497901929169288,16.0,20.375,36
109,1708.571153045166,1708.571153045166,1725.6361009841064,1933.894833217178,0.0005852843753201097,0.0005798905116445617,0.000517091200009271,16.0,7.9375,37
110,1708.571153045166,1708.571153045166,1750.221689108489,2147.818936643095,0.0005852843753201097,0.0005727364474684952,0.00046558859452228136,24.0,12.0,38
111,1708.571153045166,1708.571153045166,1721.5714927863376,1932.0066285535925,0.0005852843753201097,0.0005812431407592047,0.000517596567848556,10.0,11.96875,39
112,1708.571153045166,1708.571153045166,1715.1054946643528,1935.2152145666537,0.0005852843753201097,0.0005832591749578653,0.0005167383929564269,6.0,3.4375000000000004,40
113,1708.571153045166,1708.571153045166,1738.73692509751,2110.361128880081,0.0005852843753201097,0.0005762463456773474,0.0004738525488908507,17.0,10.53125,41
114,1695.284308820225,1695.284308820225,1731.6743833788155,1978.82804081191,0.0005898715600664735,0.0005781740426945831,0.000505349620773365,16.0,5.875,0
115,1695.284308820225,1695.284308820225,1739.5065601458314,2179.8407351357537,0.0005898715600664735,0.0005761337020399746,0.00045874911129125344,17.0,10.03125,1
